Station,Divisions,x,y,"Attempts or threats to murder, assaults, harassments and related offences",Dangerous or negligent acts,Kidnapping and related offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,"Fraud, deception and related offences",Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,"Offences against government, justice procedures and organisation of crime"
Ballygar,Galway Division,+53.52186354,-8.32838974,62,32,0,0,76,127,25,6,6,46,106,1
Ballyhale,Kilkenny/Carlow Division,+52.46832992,-7.20152066,27,57,1,0,117,208,6,26,6,76,42,4
Ballyhaunis,Mayo Division,+53.76397009,-8.76740877,220,164,0,7,215,514,60,53,18,260,500,30
Ballyheigue,Kerry Division,+52.38917403,-9.82746432,93,43,0,2,75,88,13,40,9,129,305,12
Ballyjamesduff,Cavan/Monaghan Division,+53.86310695,-7.20876929,275,261,6,6,235,381,55,55,14,231,413,35
Ballylanders,Limerick Division,+52.37071015,-8.34547061,117,44,2,3,153,183,23,32,4,132,233,10
Ballylinan,Laois/Offaly Division,+52.94295168,-7.04323905,114,47,1,5,312,354,12,24,12,221,156,24
Ballymacarberry,Waterford Division,+52.26722571,-7.71770549,37,36,0,0,114,169,4,10,5,69,48,4
Ballymahon,Roscommon/Longford Division,+53.56130979,-7.7608442,190,111,1,7,396,478,27,46,15,397,370,20
Ballymore,Westmeath Division,+53.49108004,-7.68173755,21,26,0,1,99,123,5,2,6,34,31,10
Ballymote,Sligo/Leitrim Division,+54.08743023,-8.51522971,146,167,1,5,131,325,35,76,34,253,378,54
Ballymun,D.M.R. Northern Division,+53.39453369,-6.26370499,2011,1083,15,568,2090,7307,339,2662,624,5486,3930,464
Ballynacargy,Westmeath Division,+53.58631351,-7.53494651,66,60,0,4,181,201,16,15,4,119,155,6
Ballyneety,Limerick Division,+52.59726965,-8.5489251,99,63,1,8,237,497,21,39,18,229,77,23
Ballynoe,Cork North Division,+52.06020625,-8.09931108,43,45,0,2,74,108,9,15,4,60,49,4
Ballyporeen,Tipperary Division,+52.27020140,-8.09774334,42,36,1,2,60,60,9,17,3,39,115,7
Ballyshannon,Donegal Division,+54.49874656,-8.20481734,272,254,2,5,170,528,64,586,46,486,1001,141
Ballyvaughan,Clare Division,+53.11615725,-9.14711044,22,11,0,0,64,199,7,4,1,43,14,3
Baltimore,Cork West Division,+51.48348382,-9.37226138,17,12,0,0,35,94,2,10,1,68,23,2
Baltinglass,Wicklow Division,+52.93898930,-6.70977434,253,222,0,17,707,972,84,149,37,553,500,87
Banagher,Laois/Offaly Division,+53.19053334,-7.98592774,126,88,0,2,100,281,14,36,10,163,250,10
Bandon,Cork West Division,+51.74508682,-8.7398619,549,595,3,15,372,1273,182,771,77,688,2252,327
